"DATA No"                         ,"X[mm]"                           ,"N[Ncm]"                          ,"jikuban"                         
       412, 6.883333E+00, 3.490000E+00,    0
       413, 6.900000E+00, 3.520000E+00,    0
       414, 6.916667E+00, 3.570000E+00,    0
       415, 6.933334E+00, 3.540000E+00,    0
       416, 6.950001E+00, 3.570000E+00,    0
       417, 6.966668E+00, 3.670000E+00,    0
       418, 6.983335E+00, 3.570000E+00,    0
       419, 7.000002E+00, 3.520000E+00,    0
       420, 7.016669E+00, 3.690000E+00,    0
       421, 7.033336E+00, 3.620000E+00,    0
       422, 7.050003E+00, 3.570000E+00,    0
       423, 7.066670E+00, 3.590000E+00,    0
       424, 7.083337E+00, 3.640000E+00,    0
       425, 7.100004E+00, 3.620000E+00,    0
       426, 7.116671E+00, 3.740000E+00,    0
       427, 7.133338E+00, 3.720000E+00,    0
       428, 7.150005E+00, 3.770000E+00,    0
       429, 7.166672E+00, 3.770000E+00,    0
       430, 7.183340E+00, 3.640000E+00,    0
       431, 7.200006E+00, 3.720000E+00,    0
       432, 7.216673E+00, 3.790000E+00,    0
       433, 7.233341E+00, 3.640000E+00,    0
       434, 7.250008E+00, 3.540000E+00,    0
       435, 7.266675E+00, 3.670000E+00,    0
       436, 7.283342E+00, 3.620000E+00,    0
       437, 7.300009E+00, 3.620000E+00,    0
       438, 7.316676E+00, 3.640000E+00,    0
       439, 7.333343E+00, 3.590000E+00,    0
       440, 7.350010E+00, 3.540000E+00,    0
       441, 7.366677E+00, 3.620000E+00,    0
       442, 7.383344E+00, 3.590000E+00,    0
       443, 7.400011E+00, 3.640000E+00,    0
       444, 7.416678E+00, 3.690000E+00,    0
       445, 7.433345E+00, 3.590000E+00,    0
       446, 7.450012E+00, 3.690000E+00,    0
       447, 7.466679E+00, 3.690000E+00,    0
       448, 7.483346E+00, 3.620000E+00,    0
       449, 7.500013E+00, 3.620000E+00,    0
       450, 7.516680E+00, 3.720000E+00,    0
       451, 7.533348E+00, 3.520000E+00,    0
       452, 7.550014E+00, 3.540000E+00,    0
